id	name	followers	popularity	genres
4m6VmvHDXWmVdIw6EJGQ86	Frances	67516	52	['indie anthem-folk', 'uk pop']
1fGmF8ROL6X6RQzHwnPrrc	Tree Thomas	1750	36	['cali rap']
3rTVTBOBT7NPgXtI5oWyxc	Taylor Janzen	5476	39	['manitoba indie']
68tR0TsEKX89ID4fyBMgch	James Vickery	71828	56	['alternative r&b', 'chill r&b', 'indie r&b', 'indie soul', 'uk contemporary r&b']
1Lqtx5bivFobno6w7XGB3W	John Carroll	56	1	[]
1BxqJ6pOCi8mkSjCbFYjpW	Harry Gregson-Williams	102467	62	['british soundtrack', 'epicore', 'soundtrack', 'video game music']
47BWEfq4CgZGZ1wXdwsMNG	David Snell	1102	49	[]
1eNkUXHPaXyuyC8NAgzykK	Jodeci	1439484	60	['funk', 'hip hop', 'hip pop', 'neo soul', 'new jack swing', 'quiet storm', 'r&b', 'soul', 'urban contemporary']
3Edve4VIATi0OZngclQlkN	Dopamine	1349	79	[]
4Jmv1DRK6zstwBwF2W91D1	Hashy	495	27	[]
2Xu7q46Hf02xOoEIm4E1Qs	Big Pun	902650	65	['bronx hip hop', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'hip pop', 'rap', 'southern hip hop']
41q8jaP6Xe79HxwiPZWFUA	Gregory Wright	3	0	[]
67HmqLt4AgMmrW9gaB3Kif	Juan José Mosalini Jr	13	14	[]
4ufh0WuMZh6y4Dmdnklvdl	BAEKHYUN	2068827	70	['k-pop']
3jF2TuX5ujvjhjcumIOZIb	Seasons Of Nature	16	40	['rain']
4qIIexaFmYNueu5mnSQnzU	Ralph's World	6381	43	["children's folk", "children's music", 'kindie rock']
5RqxTB2bxHNdZjJCjKl3XX	Barbie Sailers	6043	42	[]
4OOlG5eBXSkSAAEeKjJb5Y	Courtney Barnett	477741	62	['australian indie', 'indie pop', 'indie rock', 'melbourne indie']
3zJp99O5muOM6T31wat7FS	I M U R	6661	38	['vancouver indie']
040Wu7p6ehPK6ozMgKd5dm	Tycho Jones	2591	38	['modern alternative pop']
0Xlsc8iACDFB2p9Y0XT6qs	Drew-10	76	30	[]
5xBekcOlP8jLrvMqpC6MtV	Darrell Nulisch	266	17	['harmonica blues', 'soul blues', 'texas blues']
6jjQA1KxKKssDfcEyTcZkB	The Vultures	143	23	[]
7wml1FKnTWVEj05OrqIVUg	TORA	8317	33	[]
7FGjkq9WfrRmBFL64ST0p9	KillBunk	28465	63	['sad rap']
3702astwMNkkYTOHIyl7iq	Sammy Rimington	520	18	[]
41AscmNq0sWTYo4gRCp21k	Lucy McWilliams	4548	45	['indie soul']
30iave5q5TpH869k7ySE3e	Sid King & The Five Strings	1349	21	['rockabilly', 'traditional rockabilly']
18jZvCsW1PJ4FDQ5gEXuKp	Debbie Gibson	373009	58	['new wave pop', 'soft rock']
4Tn608IQ0ZuBKRxV0kDX02	koby	84	31	[]
2ffhJMXvdEJFZISX76ccQL	Wailing Souls	92824	49	['dub', 'lovers rock', 'old school dancehall', 'reggae', 'rock steady', 'roots reggae', 'ska']
1JaDm3lcNujg75Mq1mtE0u	Partillo	218	35	[]
6dAOkHEQVpVD8mFj7OQv8M	Brigetta	3440	40	[]
0hGpZy6ws8FofByMkt0CV1	Pain	121973	55	['industrial metal', 'metal', 'neue deutsche harte']
3dTx0MCeatvtqmdV7vYecG	Saxx in the City	3661	21	['indonesian jazz']
67RWyN1fDOu7WuSTIi5hE7	Shaquille O'Neal	34075	46	['new jersey rap']
0deIjoDjl9g9Zpw0sCIOHh	Valentino Khan	203121	64	['bass house', 'brostep', 'edm', 'electro house', 'electronic trap', 'moombahton']
3IGC8bpO3xoAOX8yGqKjyl	Rüdiger Ballhorn	3	20	[]
5g6ms4onQXK7dTBgUX9ghX	HD Samples	8	34	[]
1KEUVZo7CMTSJoM8doulOT	Smile Empty Soul	258358	53	['alternative metal', 'nu metal', 'post-grunge', 'rap rock']
1PryMSya1JnSAlcwYawCxp	Menahan Street Band	110089	60	['afrobeat', 'brass band', 'funk', 'indie jazz', 'instrumental funk', 'soul']
4skzy1qEMyM3FqC3b6EjRU	Imad	4131	54	['arab electronic']
6a9WLQ5NsIV7U2qB16uFWD	Ana Gabriela	216344	65	['nova mpb']
1dgdvbogmctybPrGEcnYf6	Route 94	140336	64	['deep groove house', 'house', 'pop dance', 'uk dance']
